"Term","Estimate","Std_Error","t_Value","P_Value"
"(Intercept)",3.60200916768669,0.255840524629757,14.0791189077625,4.24137348730354e-18
"SUR",-3.58633786614,1.08821619896995,-3.29561154257275,0.00192085079988153
"R-squared",0.19442982868976,NA,NA,NA
"Number of Observations",47,NA,NA,NA
